targetId,comparatorId,outcomeId,outcomeName,type
1770804,1770803,4305080,Abnormal breathing,outcome
1770804,1770803,138384,Acquired hypothyroidism,outcome
1770804,1770803,137951,Acquired keratoderma,outcome
1770804,1770803,194686,Acquired renal cystic disease,outcome
1770804,1770803,138825,Actinic keratosis,outcome
1770804,1770803,257004,Acute exacerbation of chronic obstructive airways disease,outcome
1770804,1770803,199866,Acute gastritis,outcome
1770804,1770803,436118,After-cataract with vision obscured,outcome
1770804,1770803,381295,Age-related cataract,outcome
1770804,1770803,433753,Alcohol abuse,outcome
1770804,1770803,435243,Alcohol dependence,outcome
1770804,1770803,439147,Amnesia,outcome
1770804,1770803,200528,Ascites,outcome
1770804,1770803,438409,Attention deficit hyperactivity disorder,outcome
1770804,1770803,136057,Benign neoplasm of skin of trunk,outcome
1770804,1770803,198803,Benign prostatic hyperplasia,outcome
1770804,1770803,443211,Benign prostatic hypertrophy with outflow obstruction,outcome
1770804,1770803,201072,Benign prostatic hypertrophy without outflow obstruction,outcome
1770804,1770803,444367,Cholelithiasis without obstruction,outcome
1770804,1770803,381292,Chronic allergic conjunctivitis,outcome
1770804,1770803,432738,Chronic fatigue syndrome,outcome
1770804,1770803,443597,Chronic kidney disease stage 3,outcome
1770804,1770803,75860,Constipation,outcome
1770804,1770803,4311591,Cramp in limb,outcome
1770804,1770803,197610,Cyst of ovary,outcome
1770804,1770803,433163,Deficiency of macronutrients,outcome
1770804,1770803,73575,Deformity of toe,outcome
1770804,1770803,435796,Dehydration,outcome
1770804,1770803,377910,Deviated nasal septum,outcome
1770804,1770803,201061,Diaphragmatic hernia,outcome
1770804,1770803,432730,Difficulty speaking,outcome
1770804,1770803,74725,Displacement of cervical intervertebral disc without myelopathy,outcome
1770804,1770803,433316,Dizziness and giddiness,outcome
1770804,1770803,381877,Dysfunction of eustachian tube,outcome
1770804,1770803,31317,Dysphagia,outcome
1770804,1770803,433440,Dysthymia,outcome
1770804,1770803,137351,Epidermoid cyst of skin,outcome
1770804,1770803,197381,Epigastric pain,outcome
1770804,1770803,30753,Esophagitis,outcome
1770804,1770803,197607,Excessive and frequent menstruation,outcome
1770804,1770803,72715,Exostosis,outcome
1770804,1770803,201418,"Flatulence, eructation and gas pain",outcome
1770804,1770803,196456,Gallstone,outcome
1770804,1770803,318800,Gastroesophageal reflux disease,outcome
1770804,1770803,434613,Generalized anxiety disorder,outcome
1770804,1770803,4168217,Generalized hyperhidrosis,outcome
1770804,1770803,198400,Hemangioma of skin and subcutaneous tissue,outcome
1770804,1770803,79864,Hematuria syndrome,outcome
1770804,1770803,195562,Hemorrhoids,outcome
1770804,1770803,197911,Hernia of anterior abdominal wall without obstruction AND without gangrene,outcome
1770804,1770803,433811,Hydronephrosis,outcome
1770804,1770803,435511,Hypercalcemia,outcome
1770804,1770803,434610,Hyperkalemia,outcome
1770804,1770803,133729,Hyperparathyroidism,outcome
1770804,1770803,4172432,Hyperpigmentation of skin,outcome
1770804,1770803,141375,Hypertrophic condition of skin,outcome
1770804,1770803,78474,Hypertrophy of breast,outcome
1770804,1770803,440129,Hypertrophy of nasal turbinates,outcome
1770804,1770803,434004,Hypervolemia,outcome
